,Sensor1,Sensor2,Sensor3
0,344,435.3790122180015,149
1,76,162.69620470546064,56
2,1803,2461.1482974900186,1225
3,1671,2233.547863246826,1081
4,2666,2670.8583273548916,821
5,2104,2157.965773026939,688
6,214,381.12191263712566,186
7,86,154.37238141938255,40
8,1813,2640.9439294985514,1407
9,1688,2488.4651906273307,1337
10,2867,2884.1588418856363,900
11,2290,2381.851825968674,789
12,274,410.0371284229434,173
13,108,188.50539409032646,60
14,2001,3173.087269889646,1831
15,1703,2579.540165936156,1422
16,2953,2994.612788061968,954
17,2244,2492.728920077099,939
18,61,177.08213615270517,82
19,26,107.40529871135467,34
20,1021,1884.3543080992245,1184
21,970,1522.4439878007158,840
22,1470,1563.2500861064461,521
23,1201,1373.488150505616,516
24,85,223.99187770420158,114
25,42,125.06038469910602,41
26,1395,2160.58408060489,1204
27,1311,2061.956765050047,1161
28,2124,2150.8191090454197,666
29,1612,1757.8241423279044,623
30,346,468.1078045388915,182
31,138,211.03883718527672,62
32,2233,3568.2754116648716,2079
33,2212,3191.8447023578296,1698
34,3773,3667.849494287451,1069
35,2875,3094.8822649305466,1116
36,114,225.88548247292024,95
37,35,124.04635353410212,45
38,1227,2239.808042882739,1409
39,1136,1664.1674683719827,869
40,1561,1719.897328370114,620
41,1272,1580.0364784086696,682
42,165,309.41701286576733,146
43,59,150.05393338619731,55
44,1501,2572.673296995402,1561
45,1575,2387.9442703037694,1313
46,2200,2482.4188885380963,960
47,1794,2156.6274701709726,911
48,116,246.26299742598223,115
49,50,130.56258378625878,41
50,1445,2272.8808821428174,1286
51,1434,2199.7585785225874,1217
52,2063,2238.0782042385417,802
53,1667,1894.4619799947034,727
54,122,288.3935771038944,155
55,91,181.5637123254453,65
56,1330,2905.410366303701,2035
57,1494,2383.539810535787,1367
58,2190,2472.6908449019643,957
59,1747,2060.645467176683,844
60,141,277.70884345929,130
61,59,149.10383512713364,54
62,1533,3306.3056893827174,2310
63,1567,2325.4361756727953,1253
64,2325,2435.3769930059416,820
65,1744,2040.5302755967905,825
66,145,275.7094517075479,125
67,56,139.4397243969418,46
68,1550,2546.5180760832,1498
69,1527,2373.9330409621266,1333
70,2431,2546.285061273263,860
71,1808,2092.148654366522,833
72,300,480.1746797046929,228
73,98,193.0288243401498,72
74,1543,3105.1119195067104,2091
75,2048,2940.3352752478986,1552
76,3520,3654.409053938008,1238
77,2409,2753.477006404497,1094
78,174,501.82624561529764,342
79,82,194.37570353367227,85
80,794,3109.6722776798715,2638
81,1381,2451.186282066499,1520
82,2510,2931.253471413061,1208
83,1683,2330.1602999704787,1174
84,162,384.31164719224404,227
85,64,162.04369214724102,64
86,1261,3580.0285760654137,2795
87,1565,2721.20169818963,1671
88,2732,2968.02750847578,1086
89,2043,2482.749432985984,1074
90,208,413.09899716618133,224
91,140,216.21477999331967,66
92,1497,3461.1143644535673,2499
93,1722,2828.232257015939,1670
94,2783,3131.3672926299773,1221
95,2123,2535.8712273393844,1072
96,194,325.56209152044136,142
97,76,154.14532037388742,47
98,1564,2861.128465645162,1819
99,1649,2490.1449178493717,1367
100,2372,2544.660371627123,901
101,1784,2148.799623052968,910
102,157,354.27002150899017,199
103,65,167.48195832845357,69
104,1341,2659.2996548785304,1768
105,1638,2945.2772462685543,1854
106,3019,3150.2173285823665,1070
107,2079,2368.794983054873,928
108,206,386.0707943996735,197
109,68,153.39361258205312,52
110,1593,2659.701042974251,1586
111,1708,2749.2462357017725,1597
112,2933,3079.66750928671,1058
113,2210,2577.6557754899604,1053
114,285,410.95196435433263,166
115,95,170.0633379830663,50
116,1909,3003.400975372256,1719
117,2052,2916.483623537692,1524
118,3225,3210.1905047970727,984
119,2258,2509.0084562930624,946
120,226,411.22747122631966,209
121,47,141.80063475546817,55
122,1500,2343.0118416751584,1320
123,1670,2255.6624465784607,1105
124,1922,2375.776215316206,1049
125,1274,2114.4171515151884,1243
126,154,369.3084655144544,217
127,57,170.53064357287403,78
128,1218,2035.997631024444,1201
129,1410,1997.9828207437097,1022
130,1992,2452.4234051007033,1079
131,1585,2120.243622293304,1024
132,184,354.7880765059207,180
133,88,161.44852074555288,46
134,1683,2791.9080538754324,1660
135,1762,2736.030871809678,1544
136,2643,2802.3047351341997,976
137,2003,2390.6317559338895,1006
138,181,328.0221971125824,154
139,75,161.05833156050286,55
140,1440,2592.475415795002,1626
141,1670,2592.9473285460713,1460
142,2589,2747.1130243737084,957
143,1871,2255.190852819875,959
144,181,441.0838899411616,273
145,65,158.93107399688034,60
146,1354,2590.332671151931,1686
147,1672,2740.6380102136677,1614
148,2740,2941.2263667547672,1052
149,2103,2515.4650418080564,1065
150,237,374.13837679516126,162
151,89,173.53747474021128,58
152,1703,2824.6655167745885,1680
153,1900,2895.550487679394,1612
154,2890,3038.6920100844995,1046
155,2250,2544.360482345648,989
156,324,517.5834386655524,250
157,105,175.04089032387986,48
158,1740,2974.5760594900134,1811
159,2014,2976.8071194485124,1615
160,3588,3554.862614282999,1084
161,2696,3048.7285193396624,1197
162,269,494.0072938273325,265
163,54,179.86849802395605,90
164,1314,2515.3167627629828,1636
165,1770,2509.7090956852903,1300
166,1975,2475.8848676258604,1116
167,1096,2001.4942044166762,1253
168,186,314.3593028789064,136
169,62,149.26696326668855,52
170,1327,2403.5953573785173,1509
171,1476,2277.1001349423877,1268
172,2451,2587.593408503992,889
173,1883,2214.0390419792925,907
174,198,354.91594231780107,170
175,72,163.74549819813902,60
176,1322,2514.1682740366896,1629
177,1602,2614.5857109578583,1532
178,2769,2793.004446591423,875
179,2088,2394.937020468257,949
