,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
6,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,415
7,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,137
8,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2219
9,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2662
10,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3195
11,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2578
24,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,406
25,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,150
26,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2355
27,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2590
28,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3269
29,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2781
42,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,474
43,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,161
44,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2298
45,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2918
46,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3515
47,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3065
60,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,156
61,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,71
62,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1267
63,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1461
64,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2059
