,S1,S2,S3
0,344,415,149
1,76,137,56
2,1803,2219,1225
3,1671,2662,1081
4,2666,3195,821
5,2104,2578,688
6,214,406,186
7,86,150,40
8,1813,2355,1407
9,1688,2590,1337
10,2867,3269,900
11,2290,2781,789
12,274,474,173
13,108,161,60
14,2001,2298,1831
15,1703,2918,1422
16,2953,3515,954
17,2244,3065,939
18,61,156,82
19,26,71,34
20,1021,1267,1184
21,970,1461,840
22,1470,2059,521
23,1201,1705,516
24,85,302,114
25,42,86,41
26,1395,1858,1204
27,1311,2249,1161
28,2124,3038,666
29,1612,2743,623
30,346,700,182
31,138,197,62
32,2233,2663,2079
33,2212,3441,1698
34,3773,5326,1069
35,2875,4403,1116
36,114,220,95
37,35,74,45
38,1227,1211,1409
39,1136,1458,869
40,1561,2303,620
41,1272,2002,682
42,165,456,146
43,59,130,55
44,1501,2036,1561
45,1575,2371,1313
46,2200,3765,960
47,1794,3358,911
48,116,362,115
49,50,110,41
50,1445,1850,1286
51,1434,2281,1217
52,2063,3010,802
53,1667,2582,727
54,122,449,155
55,91,121,65
56,1330,1827,2035
57,1494,2557,1367
58,2190,3223,957
59,1747,2850,844
60,141,342,130
61,59,123,54
62,1533,1839,2310
63,1567,2405,1253
64,2325,2790,820
65,1744,2573,825
66,145,423,125
67,56,115,46
68,1550,2037,1498
69,1527,2637,1333
70,2431,3583,860
71,1808,3017,833
72,300,723,228
73,98,192,72
74,1543,2434,2091
75,2048,3418,1552
76,3520,4465,1238
77,2409,4031,1094
78,174,595,342
79,82,192,85
80,794,1516,2638
81,1381,2247,1520
82,2510,3952,1208
83,1683,3908,1174
84,162,503,227
85,64,183,64
86,1261,2070,2795
87,1565,3061,1671
88,2732,3729,1086
89,2043,3650,1074
90,208,590,224
91,140,221,66
92,1497,2252,2499
93,1722,3232,1670
94,2783,4170,1221
95,2123,3819,1072
96,194,379,142
97,76,123,47
98,1564,2020,1819
99,1649,2864,1367
100,2372,3113,901
101,1784,2846,910
102,157,555,199
103,65,144,69
104,1341,2104,1768
105,1638,3163,1854
106,3019,3997,1070
107,2079,3768,928
108,206,691,197
109,68,189,52
110,1593,2093,1586
111,1708,2985,1597
112,2933,4071,1058
113,2210,3551,1053
114,285,475,166
115,95,182,50
116,1909,2254,1719
117,2052,3382,1524
118,3225,3797,984
119,2258,3293,946
120,226,438,209
121,47,127,55
122,1500,1278,1320
123,1670,1948,1105
124,1922,2900,1049
125,1274,2889,1243
126,154,402,217
127,57,88,78
128,1218,1216,1201
129,1410,1884,1022
130,1992,3208,1079
131,1585,2795,1024
132,184,451,180
133,88,153,46
134,1683,2163,1660
135,1762,3045,1544
136,2643,3754,976
137,2003,3264,1006
138,181,411,154
139,75,145,55
140,1440,2003,1626
141,1670,3004,1460
142,2589,3200,957
143,1871,2943,959
144,181,473,273
145,65,123,60
146,1354,2140,1686
147,1672,3260,1614
148,2740,3402,1052
149,2103,3150,1065
150,237,549,162
151,89,166,58
152,1703,2270,1680
153,1900,3059,1612
154,2890,3859,1046
155,2250,3448,989
156,324,598,250
157,105,185,48
158,1740,2701,1811
159,2014,3791,1615
160,3588,4026,1084
161,2696,3622,1197
162,269,405,265
163,54,147,90
164,1314,1374,1636
165,1770,2062,1300
166,1975,2867,1116
167,1096,2752,1253
168,186,431,136
169,62,119,52
170,1327,2005,1509
171,1476,2809,1268
172,2451,3579,889
173,1883,2958,907
174,198,532,170
175,72,141,60
176,1322,2230,1629
177,1602,3053,1532
178,2769,3968,875
179,2088,3510,949
180,150,416,133
181,74,114,55
182,1343,2153,1362
183,1566,2783,1388
184,2431,3522,944
185,1851,2865,883
186,176,528,229
187,68,144,57
188,1551,2217,1579
189,1594,2944,1488
190,2698,3694,958
191,2141,3206,860
192,201,620,238
193,77,147,65
194,1304,2248,1412
195,1652,2964,1348
196,2743,4080,1090
197,2144,3584,902
198,369,632,254
199,121,183,44
200,1472,2561,1509
201,2030,3223,1457
202,3498,4548,1049
203,2557,3689,960
204,143,399,249
205,52,86,84
206,1037,1150,1132
207,1560,1597,1019
208,1787,3089,1160
209,1130,2661,963
210,138,476,196
211,47,142,55
212,1011,1722,1275
213,1385,2434,1216
214,2309,3585,997
215,1761,3173,922
216,178,454,217
217,67,137,59
218,1580,1922,1371
219,1666,2573,1415
220,2509,3356,991
221,1863,2942,826
222,183,332,113
223,62,88,50
224,1449,1807,1196
225,1417,2079,1174
226,2028,2915,767
227,1624,2668,738
228,249,419,149
229,74,127,47
230,1597,2171,1354
231,1585,2658,1337
232,2529,3047,884
233,1913,2799,934
234,256,436,132
235,66,122,53
236,1990,2227,1315
237,1768,2720,1353
238,2758,3517,877
239,2265,3224,821
240,298,527,182
241,102,166,55
242,2029,2317,1530
243,2099,2985,1432
244,3254,3705,897
245,2398,3175,980
246,167,373,236
247,47,99,49
248,1041,1344,1280
249,1192,1703,1075
250,2023,3309,1046
251,1679,3042,1011
252,266,526,164
253,67,145,56
254,1515,2335,1478
255,1619,2905,1392
256,2554,3694,912
257,2020,3051,853
258,255,497,194
259,73,124,58
260,1328,2274,1512
261,1569,2692,1411
262,2880,3802,997
263,2022,3328,802
264,274,540,214
265,87,158,80
266,1276,2033,1446
267,1526,2667,1525
268,2666,4166,1051
269,2017,3665,891
270,277,522,193
271,83,162,58
272,1544,2291,1442
273,1850,2999,1508
274,2874,4145,991
275,2092,3417,1033
276,281,505,183
277,94,163,70
278,1618,2430,1379
279,1953,2755,1357
280,3189,4034,1014
281,2275,3596,896
282,284,469,127
283,95,107,41
284,1611,1984,1228
285,1669,2683,1223
286,3036,3697,817
287,2336,3060,744
288,178,316,177
289,51,59,46
290,1456,1205,1212
291,1320,1521,1049
292,1822,2535,771
293,1526,2310,950
294,1267,455,168
295,975,144,65
296,1275,2094,1334
297,1478,2571,1247
298,2261,3491,870
299,1778,3177,893
300,626,305,96
301,543,95,47
302,904,1658,1047
303,1077,1954,987
304,1853,2799,683
305,1298,2606,653
306,1197,455,160
307,931,153,55
308,1354,2188,1415
309,1469,2653,1344
310,2098,3301,899
311,1760,2977,888
312,1299,484,161
313,1054,174,95
314,1402,2275,1994
315,1539,2918,1364
316,2439,3293,905
317,1689,3261,916
318,1481,508,172
319,1235,165,65
320,1491,2415,2622
321,1470,2935,1448
322,2330,3411,973
323,1774,3322,933
324,2167,556,214
325,1639,204,59
326,940,2259,2587
327,1137,3090,1428
328,2665,3336,1024
329,1823,3345,813
330,410,188,112
331,376,66,40
332,958,1039,1484
333,907,1188,744
334,1352,1692,561
335,1089,1651,626
336,1175,367,113
337,957,137,71
338,1283,2044,1810
339,1228,2420,1259
340,1874,3087,757
341,1638,2795,707
342,1341,532,188
343,1129,154,66
344,1443,2144,2150
345,1398,2694,1425
346,2388,3349,927
347,1730,3236,986
348,1112,535,214
349,882,161,64
350,1230,2128,2676
351,1298,2736,1495
352,2481,3573,978
353,1799,3281,829
354,956,521,198
355,854,175,70
356,1271,2118,2362
357,1169,2833,1571
358,2738,3902,939
359,2073,3544,769
360,996,481,177
361,374,211,56
362,1018,2238,2899
363,1125,3073,1651
364,3547,3464,949
365,3060,3353,798
366,3011,497,241
367,2276,229,85
368,543,2305,2204
369,828,3235,1668
370,2828,3254,854
371,1891,3355,717
372,2062,361,247
373,1681,140,60
374,640,1263,1841
375,838,1675,1149
376,1974,2907,926
377,1326,3024,898
378,1560,477,188
379,1327,175,59
380,800,1940,2016
381,930,2441,1373
382,2340,3203,863
383,1554,3153,745
384,1870,494,213
385,1521,177,71
386,745,2051,2230
387,1024,2871,1507
388,2391,3363,963
389,1626,3333,779
390,1970,407,221
391,1412,146,93
392,664,2168,2695
393,1192,2839,1627
394,2424,3299,927
395,1653,3225,931
396,1743,492,238
397,1533,175,84
398,985,2136,2110
399,1153,2661,1514
400,2387,3861,962
401,1716,3647,844
402,2285,576,218
403,2054,185,89
404,1043,2343,3085
405,1195,3130,1650
406,2398,4128,1009
407,1768,3725,908
408,2812,600,185
409,2482,235,62
410,1055,2536,2166
411,1179,3283,1404
412,2317,3824,907
413,1723,3658,870
414,2139,336,273
415,1956,127,78
416,728,1434,2510
417,895,1809,1342
418,1671,2776,926
419,1376,2606,733
420,1468,469,180
421,1502,148,71
422,927,2043,2760
423,976,2475,1284
424,2013,3294,865
425,1483,3208,847
426,1085,370,126
427,1045,121,44
428,807,1996,2081
429,1007,2323,1210
430,1802,2795,721
431,1396,2808,727
432,1126,318,152
433,1070,136,48
434,1200,2028,1286
435,1276,2434,1377
436,1914,2927,726
437,1402,2854,678
438,1922,542,197
439,1702,166,62
440,1136,2227,1486
