,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
0,05/17/2021,05/17/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,344
1,05/17/2021,05/17/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,76
2,05/17/2021,05/17/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1803
3,05/17/2021,05/17/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1671
4,05/17/2021,05/17/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2666
5,05/17/2021,05/17/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2104
6,05/18/2021,05/18/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,214
7,05/18/2021,05/18/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,86
8,05/18/2021,05/18/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1813
9,05/18/2021,05/18/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1688
10,05/18/2021,05/18/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2867
11,05/18/2021,05/18/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2290
12,05/19/2021,05/19/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,274
13,05/19/2021,05/19/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,108
14,05/19/2021,05/19/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,2001
15,05/19/2021,05/19/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1703
16,05/19/2021,05/19/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2953
17,05/19/2021,05/19/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2244
18,05/20/2021,05/20/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,61
19,05/20/2021,05/20/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,26
20,05/20/2021,05/20/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1021
21,05/20/2021,05/20/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,970
22,05/20/2021,05/20/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,1470
23,05/20/2021,05/20/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1201
24,05/21/2021,05/21/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,85
25,05/21/2021,05/21/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,42
26,05/21/2021,05/21/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1395
27,05/21/2021,05/21/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1311
28,05/21/2021,05/21/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2124
29,05/21/2021,05/21/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1612
30,05/22/2021,05/22/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,346
31,05/22/2021,05/22/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,138
32,05/22/2021,05/22/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,2233
33,05/22/2021,05/22/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,2212
34,05/22/2021,05/22/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,3773
35,05/22/2021,05/22/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2875
36,05/23/2021,05/23/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,114
37,05/23/2021,05/23/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,35
38,05/23/2021,05/23/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1227
39,05/23/2021,05/23/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1136
40,05/23/2021,05/23/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,1561
41,05/23/2021,05/23/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1272
42,05/24/2021,05/24/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,165
43,05/24/2021,05/24/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,59
44,05/24/2021,05/24/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1501
45,05/24/2021,05/24/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1575
46,05/24/2021,05/24/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2200
47,05/24/2021,05/24/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1794
48,05/25/2021,05/25/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,116
49,05/25/2021,05/25/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,50
50,05/25/2021,05/25/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1445
51,05/25/2021,05/25/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1434
52,05/25/2021,05/25/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2063
53,05/25/2021,05/25/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1667
54,05/26/2021,05/26/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,122
55,05/26/2021,05/26/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,91
56,05/26/2021,05/26/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1330
57,05/26/2021,05/26/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1494
58,05/26/2021,05/26/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2190
59,05/26/2021,05/26/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1747
60,05/27/2021,05/27/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,141
61,05/27/2021,05/27/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,59
62,05/27/2021,05/27/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1533
63,05/27/2021,05/27/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1567
64,05/27/2021,05/27/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2325
65,05/27/2021,05/27/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1744
66,05/28/2021,05/28/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,145
67,05/28/2021,05/28/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,56
68,05/28/2021,05/28/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1550
69,05/28/2021,05/28/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1527
70,05/28/2021,05/28/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2431
71,05/28/2021,05/28/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1808
72,05/29/2021,05/29/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,300
73,05/29/2021,05/29/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,98
74,05/29/2021,05/29/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1543
75,05/29/2021,05/29/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,2048
76,05/29/2021,05/29/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,3520
77,05/29/2021,05/29/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2409
78,05/30/2021,05/30/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,174
79,05/30/2021,05/30/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,82
80,05/30/2021,05/30/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,794
81,05/30/2021,05/30/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1381
82,05/30/2021,05/30/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2510
83,05/30/2021,05/30/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1683
84,05/31/2021,05/31/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,162
85,05/31/2021,05/31/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,64
86,05/31/2021,05/31/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1261
87,05/31/2021,05/31/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1565
88,05/31/2021,05/31/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2732
89,05/31/2021,05/31/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2043
90,06/01/2021,06/01/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,208
91,06/01/2021,06/01/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,140
92,06/01/2021,06/01/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1497
93,06/01/2021,06/01/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1722
94,06/01/2021,06/01/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2783
95,06/01/2021,06/01/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2123
96,06/02/2021,06/02/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,194
97,06/02/2021,06/02/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,76
98,06/02/2021,06/02/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1564
99,06/02/2021,06/02/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1649
100,06/02/2021,06/02/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2372
101,06/02/2021,06/02/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,1784
102,06/03/2021,06/03/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,157
103,06/03/2021,06/03/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,65
104,06/03/2021,06/03/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1341
105,06/03/2021,06/03/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1638
106,06/03/2021,06/03/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,3019
107,06/03/2021,06/03/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2079
108,06/04/2021,06/04/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,206
109,06/04/2021,06/04/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,68
110,06/04/2021,06/04/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1593
111,06/04/2021,06/04/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1708
112,06/04/2021,06/04/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,2933
113,06/04/2021,06/04/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2210
114,06/05/2021,06/05/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,285
115,06/05/2021,06/05/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,95
116,06/05/2021,06/05/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1909
117,06/05/2021,06/05/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,2052
118,06/05/2021,06/05/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,in,3225
119,06/05/2021,06/05/2021 01:00,22990,S1_georgeSt_pathRHS_dlr001,S1,out,2258
120,06/06/2021,06/06/2021 01:00,22989,S1_georgeSt_dlr001,S1,in,226
121,06/06/2021,06/06/2021 01:00,22989,S1_georgeSt_dlr001,S1,out,47
122,06/06/2021,06/06/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,in,1500
123,06/06/2021,06/06/2021 01:00,22988,S1_georgeSt_pathLHS_dlr001,S1,out,1670
