,Unnamed: 0,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
0,0,6,05/17/2021,05/17/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,435.3790122180015
1,1,7,05/17/2021,05/17/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,162.69620470546064
2,2,8,05/17/2021,05/17/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2461.1482974900186
3,3,9,05/17/2021,05/17/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2233.547863246826
4,4,10,05/17/2021,05/17/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2670.8583273548916
5,5,11,05/17/2021,05/17/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2157.965773026939
6,6,24,05/18/2021,05/18/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,381.12191263712566
7,7,25,05/18/2021,05/18/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,154.37238141938255
8,8,26,05/18/2021,05/18/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2640.9439294985514
9,9,27,05/18/2021,05/18/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2488.4651906273307
10,10,28,05/18/2021,05/18/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2884.1588418856363
11,11,29,05/18/2021,05/18/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2381.851825968674
12,12,42,05/19/2021,05/19/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,410.0371284229434
13,13,43,05/19/2021,05/19/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,188.50539409032646
14,14,44,05/19/2021,05/19/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3173.087269889646
15,15,45,05/19/2021,05/19/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2579.540165936156
16,16,46,05/19/2021,05/19/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2994.612788061968
17,17,47,05/19/2021,05/19/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2492.728920077099
18,18,60,05/20/2021,05/20/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,177.08213615270517
19,19,61,05/20/2021,05/20/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,107.40529871135467
20,20,62,05/20/2021,05/20/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1884.3543080992245
21,21,63,05/20/2021,05/20/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1522.4439878007158
22,22,64,05/20/2021,05/20/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,1563.2500861064461
23,23,65,05/20/2021,05/20/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,1373.488150505616
24,24,78,05/21/2021,05/21/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,223.99187770420158
25,25,79,05/21/2021,05/21/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,125.06038469910602
26,26,80,05/21/2021,05/21/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2160.58408060489
27,27,81,05/21/2021,05/21/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2061.956765050047
28,28,82,05/21/2021,05/21/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2150.8191090454197
29,29,83,05/21/2021,05/21/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,1757.8241423279044
30,30,96,05/22/2021,05/22/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,468.1078045388915
31,31,97,05/22/2021,05/22/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,211.03883718527672
32,32,98,05/22/2021,05/22/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3568.2754116648716
33,33,99,05/22/2021,05/22/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3191.8447023578296
34,34,100,05/22/2021,05/22/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3667.849494287451
35,35,101,05/22/2021,05/22/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3094.8822649305466
36,36,114,05/23/2021,05/23/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,225.88548247292024
37,37,115,05/23/2021,05/23/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,124.04635353410212
38,38,116,05/23/2021,05/23/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2239.808042882739
39,39,117,05/23/2021,05/23/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,1664.1674683719827
40,40,118,05/23/2021,05/23/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,1719.897328370114
41,41,119,05/23/2021,05/23/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,1580.0364784086696
42,42,132,05/24/2021,05/24/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,309.41701286576733
43,43,133,05/24/2021,05/24/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,150.05393338619731
44,44,134,05/24/2021,05/24/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2572.673296995402
45,45,135,05/24/2021,05/24/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2387.9442703037694
46,46,136,05/24/2021,05/24/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2482.4188885380963
47,47,137,05/24/2021,05/24/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2156.6274701709726
48,48,150,05/25/2021,05/25/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,246.26299742598223
49,49,151,05/25/2021,05/25/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,130.56258378625878
50,50,152,05/25/2021,05/25/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2272.8808821428174
51,51,153,05/25/2021,05/25/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2199.7585785225874
52,52,154,05/25/2021,05/25/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2238.0782042385417
53,53,155,05/25/2021,05/25/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,1894.4619799947034
54,54,168,05/26/2021,05/26/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,288.3935771038944
55,55,169,05/26/2021,05/26/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,181.5637123254453
56,56,170,05/26/2021,05/26/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2905.410366303701
57,57,171,05/26/2021,05/26/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2383.539810535787
58,58,172,05/26/2021,05/26/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2472.6908449019643
59,59,173,05/26/2021,05/26/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2060.645467176683
60,60,186,05/27/2021,05/27/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,277.70884345929
61,61,187,05/27/2021,05/27/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,149.10383512713364
62,62,188,05/27/2021,05/27/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3306.3056893827174
63,63,189,05/27/2021,05/27/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2325.4361756727953
64,64,190,05/27/2021,05/27/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2435.3769930059416
65,65,191,05/27/2021,05/27/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2040.5302755967905
66,66,204,05/28/2021,05/28/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,275.7094517075479
67,67,205,05/28/2021,05/28/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,139.4397243969418
68,68,206,05/28/2021,05/28/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2546.5180760832
69,69,207,05/28/2021,05/28/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2373.9330409621266
70,70,208,05/28/2021,05/28/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2546.285061273263
71,71,209,05/28/2021,05/28/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2092.148654366522
72,72,222,05/29/2021,05/29/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,480.1746797046929
73,73,223,05/29/2021,05/29/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,193.0288243401498
74,74,224,05/29/2021,05/29/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3105.1119195067104
75,75,225,05/29/2021,05/29/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2940.3352752478986
76,76,226,05/29/2021,05/29/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3654.409053938008
77,77,227,05/29/2021,05/29/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2753.477006404497
78,78,240,05/30/2021,05/30/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,501.82624561529764
79,79,241,05/30/2021,05/30/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,194.37570353367227
80,80,242,05/30/2021,05/30/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3109.6722776798715
81,81,243,05/30/2021,05/30/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2451.186282066499
82,82,244,05/30/2021,05/30/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2931.253471413061
83,83,245,05/30/2021,05/30/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2330.1602999704787
84,84,258,05/31/2021,05/31/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,384.31164719224404
85,85,259,05/31/2021,05/31/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,162.04369214724102
86,86,260,05/31/2021,05/31/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3580.0285760654137
87,87,261,05/31/2021,05/31/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2721.20169818963
88,88,262,05/31/2021,05/31/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2968.02750847578
89,89,263,05/31/2021,05/31/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2482.749432985984
90,90,276,06/01/2021,06/01/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,413.09899716618133
91,91,277,06/01/2021,06/01/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,216.21477999331967
92,92,278,06/01/2021,06/01/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,3461.1143644535673
93,93,279,06/01/2021,06/01/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2828.232257015939
94,94,280,06/01/2021,06/01/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3131.3672926299773
95,95,281,06/01/2021,06/01/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2535.8712273393844
96,96,294,06/02/2021,06/02/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,325.56209152044136
97,97,295,06/02/2021,06/02/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,154.14532037388742
98,98,296,06/02/2021,06/02/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2861.128465645162
