,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
0,12,05/17/2021,05/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,149
1,13,05/17/2021,05/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,56
2,14,05/17/2021,05/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1225
3,15,05/17/2021,05/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1081
4,16,05/17/2021,05/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,821
5,17,05/17/2021,05/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,688
6,30,05/18/2021,05/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,186
7,31,05/18/2021,05/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,40
8,32,05/18/2021,05/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1407
9,33,05/18/2021,05/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1337
10,34,05/18/2021,05/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,900
11,35,05/18/2021,05/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,789
12,48,05/19/2021,05/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,173
13,49,05/19/2021,05/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,60
14,50,05/19/2021,05/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1831
15,51,05/19/2021,05/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1422
16,52,05/19/2021,05/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,954
17,53,05/19/2021,05/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,939
18,66,05/20/2021,05/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,82
19,67,05/20/2021,05/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,34
