,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
12,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,149
13,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,56
14,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1225
15,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1081
16,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,821
17,2021-05-17 00:00:00.000,2021-05-17 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,688
30,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,186
31,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,40
32,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1407
33,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1337
34,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,900
35,2021-05-18 00:00:00.000,2021-05-18 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,789
48,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,173
49,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,60
50,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1831
51,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1422
52,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,954
53,2021-05-19 00:00:00.000,2021-05-19 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,939
66,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,82
67,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,34
68,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1184
69,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,840
70,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,521
71,2021-05-20 00:00:00.000,2021-05-20 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,516
84,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,114
85,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,41
86,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1204
87,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1161
88,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,666
89,2021-05-21 00:00:00.000,2021-05-21 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,623
102,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,182
103,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,62
104,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2079
105,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1698
106,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1069
107,2021-05-22 00:00:00.000,2021-05-22 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1116
120,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,95
121,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,45
122,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1409
123,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,869
124,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,620
125,2021-05-23 00:00:00.000,2021-05-23 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,682
138,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,146
139,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,55
140,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1561
141,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1313
142,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,960
143,2021-05-24 00:00:00.000,2021-05-24 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,911
156,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,115
157,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,41
158,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1286
159,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1217
160,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,802
161,2021-05-25 00:00:00.000,2021-05-25 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,727
174,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,155
175,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,65
176,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2035
177,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1367
178,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,957
179,2021-05-26 00:00:00.000,2021-05-26 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,844
192,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,130
193,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,54
194,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,2310
195,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1253
196,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,820
197,2021-05-27 00:00:00.000,2021-05-27 01:00:00.000,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,825
210,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,in,125
211,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22998,S3_GeorgesStUpper_dlr001,S3,out,46
212,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1498
213,2021-05-28 00:00:00.000,2021-05-28 01:00:00.000,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1333
