,year,week,real data,data with prediction for 2023
0,2021,20,1813.8333333333333,1813.8333333333333
1,2021,21,1973.6904761904761,1973.6904761904761
2,2021,22,2199.3333333333335,2199.3333333333335
3,2021,22,2108.4166666666665,2108.4166666666665
4,2021,23,2013.2857142857142,2013.2857142857142
5,2021,24,2080.5238095238096,2080.5238095238096
6,2021,25,1881.357142857143,1881.357142857143
7,2021,26,2144.5555555555557,2144.5555555555557
8,2021,26,1956.875,1956.875
9,2021,27,1829.7857142857142,1829.7857142857142
10,2021,28,1988.8333333333333,1988.8333333333333
11,2021,29,2048.690476190476,2048.690476190476
12,2021,30,1887.861111111111,1887.861111111111
13,2021,30,1467.8333333333333,1467.8333333333333
14,2021,31,1714.0714285714287,1714.0714285714287
15,2021,32,2004.452380952381,2004.452380952381
16,2021,33,1966.8095238095239,1966.8095238095239
17,2021,34,2270.6428571428573,2270.6428571428573
18,2021,35,2044.6666666666667,2044.6666666666667
19,2021,35,1999.4666666666667,1999.4666666666667
20,2021,36,1945.595238095238,1945.595238095238
21,2021,37,1978.404761904762,1978.404761904762
22,2021,38,2062.1428571428573,2062.1428571428573
23,2021,39,1866.6666666666667,1866.6666666666667
24,2021,39,2031.0,2031.0
25,2021,40,1991.2142857142858,1991.2142857142858
26,2021,41,1996.6666666666667,1996.6666666666667
27,2021,42,1904.2380952380952,1904.2380952380952
28,2021,43,1936.2619047619048,1936.2619047619048
29,2021,44,1929.7857142857142,1929.7857142857142
30,2021,45,1892.6904761904761,1892.6904761904761
31,2021,46,1913.6190476190477,1913.6190476190477
32,2021,47,1826.404761904762,1826.404761904762
33,2021,48,844.75,844.75
34,2021,48,1838.4069592949343,1838.4069592949343
35,2021,49,1723.4779233264792,1723.4779233264792
36,2021,50,1990.7203793908125,1990.7203793908125
37,2021,51,1735.9493719394814,1735.9493719394814
38,2021,52,1637.8734035384455,1637.8734035384455
39,2022,1,1640.0128403425463,1640.0128403425463
40,2022,2,1720.4002529311413,1720.4002529311413
41,2022,3,1730.1015436335479,1730.1015436335479
42,2022,4,1774.7870150143697,1774.7870150143697
43,2022,5,1649.1012035466297,1649.1012035466297
44,2022,52,1486.6042847975148,1486.6042847975148
45,2022,5,1656.0661920071573,1656.0661920071573
46,2022,6,1715.952315241209,1715.952315241209
47,2022,7,1589.3720351536779,1589.3720351536779
48,2022,8,1762.0779463908707,1762.0779463908707
49,2022,9,1627.5220598238873,1627.5220598238873
50,2022,9,1754.0739777900799,1754.0739777900799
51,2022,10,1606.7659776102564,1606.7659776102564
52,2022,11,1743.0715928050859,1743.0715928050859
53,2022,12,1866.4805521566775,1866.4805521566775
54,2022,13,1733.2682425753437,1733.2682425753437
55,2022,13,1839.4771397089905,1839.4771397089905
56,2022,14,1736.1791655979716,1736.1791655979716
57,2022,15,1749.7161956585765,1749.7161956585765
58,2022,16,1810.948765369718,1810.948765369718
59,2022,17,1804.790142089168,1804.790142089168
60,2022,17,1533.050396289458,1533.050396289458
61,2022,18,1619.642857142857,1619.642857142857
62,2022,19,2118.2380952380954,2118.2380952380954
63,2022,20,2042.595238095238,2042.595238095238
64,2022,21,2152.190476190476,2152.190476190476
65,2022,22,2001.25,2001.25
66,2022,22,2183.6,2183.6
67,2022,23,2179.6428571428573,2179.6428571428573
68,2022,24,1311.904761904762,1311.904761904762
69,2022,25,1828.9050433101777,1828.9050433101777
70,2022,26,1836.1572560791622,1836.1572560791622
71,2022,26,1892.343474016742,1892.343474016742
72,2022,27,1933.1900377706465,1933.1900377706465
73,2022,28,720.7857142857143,720.7857142857143
74,2022,29,1122.952380952381,1122.952380952381
75,2022,30,1085.1190476190477,1085.1190476190477
76,2022,31,1078.095238095238,1078.095238095238
77,2022,32,1126.452380952381,1126.452380952381
78,2022,33,1520.4285714285713,1520.4285714285713
79,2022,34,2024.6666666666667,2024.6666666666667
80,2022,35,1938.8333333333333,1938.8333333333333
81,2022,35,1801.7083333333333,1801.7083333333333
82,2022,36,1733.7857142857142,1733.7857142857142
83,2022,37,1847.2380952380952,1847.2380952380952
84,2022,38,1803.642857142857,1803.642857142857
85,2022,39,1782.4666666666667,1782.4666666666667
86,2022,39,1860.0833333333333,1860.0833333333333
87,2022,40,1762.6904761904761,1762.6904761904761
88,2022,41,1802.547619047619,1802.547619047619
89,2022,42,1690.3333333333333,1690.3333333333333
90,2022,43,1840.8333333333333,1840.8333333333333
91,2022,44,1201.6666666666667,1201.6666666666667
92,2022,44,1909.7222222222222,1909.7222222222222
93,2022,45,1802.7857142857142,1802.7857142857142
94,2022,46,1886.1666666666667,1886.1666666666667
95,2022,47,1786.1190476190477,1786.1190476190477
96,2022,48,1869.388888888889,1869.388888888889
97,2022,48,2007.0833333333333,2007.0833333333333
98,2022,49,1912.595238095238,1912.595238095238
99,2022,50,2024.547619047619,2024.547619047619
100,2022,51,2231.595238095238,2231.595238095238
101,2022,52,1555.5833333333333,1555.5833333333333
102,2023,1,1763.595238095238,1803.0139295652202
103,2023,2,1593.095238095238,1738.1922945251695
104,2023,3,1683.4285714285713,1788.5870823519979
105,2023,4,1775.3809523809523,1812.8212789427912
106,2023,5,1670.9166666666667,1787.8783667957919
107,2023,52,922.1666666666666,1512.635696882913
108,2023,5,1849.4,1867.1597997120975
109,2023,6,1688.6666666666667,1837.2299629886106
110,2023,7,1984.5238095238096,1899.0698515139763
111,2023,8,1762.4761904761904,1840.022905923862
112,2023,9,1652.25,1756.924048596111
113,2023,9,1867.2,1861.9570507036526
114,2023,10,1571.6190476190477,1719.2486728007395
115,2023,11,1721.904761904762,1767.0578577339077
116,2023,12,1811.2380952380952,1828.1911582633197
117,2023,13,1762.6333333333334,1775.455221836642
118,2023,13,1806.9166666666667,1833.845124885039
119,2023,14,1996.5,1845.0244816450381
120,2023,15,1809.6666666666667,1780.5969116128758
121,2023,16,1827.857142857143,1808.728764275508
122,2023,17,1902.5238095238096,1819.3398365806736
