,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
0,05/17/2021,05/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,149
1,05/17/2021,05/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,56
2,05/17/2021,05/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1225
3,05/17/2021,05/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1081
4,05/17/2021,05/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,821
5,05/17/2021,05/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,688
6,05/18/2021,05/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,186
7,05/18/2021,05/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,40
8,05/18/2021,05/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1407
9,05/18/2021,05/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1337
10,05/18/2021,05/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,900
11,05/18/2021,05/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,789
12,05/19/2021,05/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,173
13,05/19/2021,05/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,60
14,05/19/2021,05/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1831
15,05/19/2021,05/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1422
16,05/19/2021,05/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,954
17,05/19/2021,05/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,939
18,05/20/2021,05/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,82
19,05/20/2021,05/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,34
20,05/20/2021,05/20/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1184
21,05/20/2021,05/20/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,840
22,05/20/2021,05/20/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,521
